Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-52.55985	-116.9815	64.42167	0.0531519	0.00935987	0.00786083	0.00025204	0.00852009	0.00526452	0.059908	0.00346869	0.0103416	0.00776762	0.00737065	0.0215571	0.0224955	0.00647878	0.036092	0.079598	0.0755105	0.00205821	0.00199373	0.00303669	0.00575635	0.00687967	0.00659813	0.00957715	0.0173409	0.010595	0.0163414	0.0255641	0.0239133	0.053174	0.00229439	0.00745197	0.00453861	0.0145962	0.0617621	0.00954114	0.0250406	0.00484896	0.00190405	0.0554456	0.0190045	0.00677784	0.0138183	0.00612585	0.0345951	0.0219302	7.64663e-05	0.487749	2.28063	1.471507	0.5284925	0.30225	0.557922	0.833558	1.19968	1.79236	3.30852	0.8651515	0.3591504	0.5346645	0.0598842	0.0105454	0.00885649	0.000283964	0.00959925	0.00593133	0.067496	0.00390803	0.0116515	0.00875147	0.00830422	0.0242876	0.0253448	0.00729939	0.0406635	0.0896799	0.0850747	0.00231891	0.00224626	0.00342132	0.00648546	0.00775105	0.00743386	0.0107902	0.0195373	0.0119369	0.0184112	0.0288021	0.0269422	0.0599091	0.002585	0.00839584	0.00511348	0.016445	0.0695849	0.0107496	0.0282123	0.00546313	0.00214522	0.0624684	0.0214117	0.00763632	0.0155686	0.00690176	0.038977	0.0247079	8.61516e-05	0.596231	0.403769	0.5962307	0.8875785
36	-52.89179	-117.9781	65.08628	0.0222967	0.0123216	0.00337705	0.001751	0.0116236	0.00858878	0.00588067	0.00352824	0.00344135	0.000549195	0.0109237	0.0104318	0.0183388	0.028628	0.00381972	0.0239861	0.0404161	0.000141644	0.00520068	0.0117977	0.00106216	0.0121663	0.00347625	0.0127804	0.00989383	0.00795635	0.00973765	0.0110368	0.00610708	0.0316134	0.0132503	1.4611e-05	0.011109	0.00689592	0.0482753	0.0245273	0.00180767	0.00920502	0.0198614	0.0246359	0.00467262	0.00677378	0.00492574	0.00443928	0.0519951	0.00662097	2.12378e-05	0.39329	2.51677	1.592133	0.4078675	0.295358	0.551681	0.830637	1.2039	1.81264	3.38572	0.8818305	0.2561768	0.3906691	0.0389869	0.0215449	0.00590493	0.00306171	0.0203243	0.0150179	0.0102826	0.00616928	0.00601736	0.000960293	0.0191006	0.0182405	0.0320663	0.0500573	0.00667895	0.0419408	0.0706695	0.000247671	0.00909363	0.0206288	0.00185724	0.0212733	0.00607839	0.0223471	0.0172998	0.013912	0.0170267	0.0192984	0.0106785	0.0552775	0.0231687	2.5548e-05	0.0194245	0.0120578	0.0844116	0.0428871	0.0031608	0.0160954	0.0347285	0.043077	0.00817028	0.0118443	0.00861288	0.00776229	0.0909158	0.0115771	3.71352e-05	0.695819	0.304181	0.6958192	0.5719038
72	-55.93781	-119.8786	63.94077	0.0217189	0.0332363	0.00533108	0.0153755	0.00648126	0.0850088	0.0148013	0.0318126	0.00028088	0.00229974	0.00726409	0.0199006	0.0242589	0.0108227	0.0057714	0.014771	0.00917758	0.000662293	0.0277386	0.0074276	0.00157236	0.00256829	0.030014	0.0130539	0.0347264	0.00865813	0.0125352	0.0163683	0.0164266	0.0198376	0.0266849	0.00348733	0.00103996	0.0313966	0.0382584	0.0388224	0.0059711	0.00292121	0.0619599	0.0539984	0.0175185	0.000513967	0.0196787	0.0006965	0.0223454	0.0564106	9.50041e-05	0.865908	1.33523	1.432303	0.5676966	0.772001	0.881437	0.961392	1.04016	1.13451	1.29533	0.1871077	0.3963522	1.621273	0.024633	0.0376956	0.00604635	0.0174384	0.00735087	0.0964146	0.0167872	0.036081	0.000318566	0.0026083	0.00823872	0.0225707	0.0275137	0.0122748	0.00654576	0.0167528	0.0104089	0.000751154	0.0314604	0.00842417	0.00178332	0.00291288	0.0340411	0.0148054	0.0393856	0.00981981	0.014217	0.0185644	0.0186305	0.0224993	0.0302653	0.00395523	0.00117949	0.0356092	0.0433916	0.0440313	0.00677225	0.00331316	0.0702732	0.0612434	0.0198689	0.000582927	0.022319	0.00078995	0.0253435	0.0639793	0.000107751	0.38076	0.61924	0.3807605	0.8817008
108	-58.485	-122.9046	64.41962	0.00908993	0.0140768	0.016271	0.0123907	0.0433805	0.0777036	0.0105629	0.00102449	0.00262729	0.0251596	0.00707738	0.0423847	0.0289753	0.00170804	0.0265247	0.0192223	0.0588723	0.0238529	0.000943152	0.0212788	0.00114008	0.0205198	0.022271	0.000314805	0.00613521	0.0012344	0.00892921	0.0035102	0.0216812	0.0319935	0.0402665	0.00223617	0.00664979	0.0231232	0.00274447	0.0226008	0.00735277	0.00216919	0.0544402	0.0750747	0.0189924	0.0359266	0.100849	0.00457424	0.0733984	0.058242	0.000144078	0.516963	2.20759	1.156149	0.8438506	0.999756	0.999881	0.999963	1.00004	1.00012	1.00024	0.0001762494	0.7298803	0.585438	0.00834213	0.0129187	0.0149324	0.0113714	0.0398118	0.0713113	0.00969396	0.000940209	0.00241116	0.0230898	0.00649515	0.0388979	0.0265916	0.00156753	0.0243426	0.017641	0.0540291	0.0218906	0.000865563	0.0195283	0.00104629	0.0188317	0.0204388	0.000288907	0.00563049	0.00113285	0.00819464	0.00322143	0.0198976	0.0293615	0.0369539	0.0020522	0.00610274	0.0212209	0.00251869	0.0207415	0.00674789	0.00199074	0.0499617	0.0688986	0.01743	0.032971	0.0925526	0.00419793	0.0673602	0.0534506	0.000132225	0.592513	0.407487	0.5925127	1.08964
144	-53.79118	-120.3105	66.51929	0.0291456	0.0076128	0.00571372	0.00187224	0.00121073	0.0433288	0.00502117	0.0192251	0.0456215	0.0222153	0.0218623	0.0751347	0.00290312	0.00908664	0.00441027	0.021945	0.0143381	0.0035084	0.00509684	0.00234295	0.00719414	0.00472999	0.00953579	0.0141555	0.0105984	0.0063	0.00847739	0.020883	0.00168251	0.00500214	0.0109517	0.0111682	0.00921634	0.0244934	0.000354926	0.00437591	0.00455495	0.0113663	0.024007	0.0198937	0.00846994	0.007878	0.0144783	0.00371907	0.00909967	0.0426231	0.000309836	0.178177	3.05456	1.668979	0.3310206	0.738222	0.862411	0.95487	1.04726	1.15954	1.35461	0.2194591	0.1983371	0.1458285	0.0457462	0.0119489	0.00896813	0.00293862	0.00190033	0.0680079	0.00788111	0.0301753	0.0716064	0.0348686	0.0343145	0.11793	0.00455668	0.0142622	0.00692226	0.0344444	0.0225047	0.00550671	0.00799988	0.00367744	0.0112917	0.00742408	0.0149672	0.0222181	0.016635	0.00988834	0.0133059	0.0327774	0.00264083	0.00785124	0.0171896	0.0175294	0.0144658	0.0384443	0.000557084	0.00686832	0.00714934	0.0178403	0.0376809	0.0312247	0.0132942	0.0123651	0.0227247	0.00583736	0.0142826	0.0669002	0.000486312	0.507846	0.492154	0.507846	0.6371146
180	-57.12279	-121.4741	64.35126	0.0151472	0.00567925	0.00791583	0.0139273	0.000677495	0.0181435	0.0183379	0.00047327	0.00312657	0.0260115	0.0025387	0.000745077	0.00284706	0.00285214	0.00334038	0.00307601	0.0160755	0.0137299	0.00554273	0.000440497	0.000325766	0.00576954	0.00846651	0.0154989	0.0022476	0.0169975	0.00408758	0.00307189	0.0112751	0.0029074	0.00893268	0.00854726	0.0144632	0.00677345	0.00420418	0.00344001	0.00171414	0.00367388	0.00579427	0.00267926	0.00241855	0.0286975	0.024778	0.0019024	0.000127046	0.00083199	0.00704586	0.149292	3.12677	1.258761	0.7412393	0.0991012	0.323881	0.703476	1.42151	3.08756	10.0907	1.671456	0.5888644	0.1193659	0.0423937	0.0158949	0.0221546	0.0389793	0.00189616	0.0507796	0.0513237	0.00132458	0.00875056	0.0728003	0.00710524	0.0020853	0.00796829	0.00798251	0.00934897	0.00860905	0.0449917	0.0384268	0.0155128	0.00123285	0.000911746	0.0161476	0.0236958	0.0433779	0.00629052	0.0475721	0.0114402	0.00859752	0.0315564	0.00813715	0.0250005	0.0239219	0.0404793	0.0189574	0.0117666	0.00962781	0.00479749	0.0102824	0.0162168	0.00749865	0.00676897	0.0803178	0.069348	0.00532439	0.000355572	0.00232855	0.0197198	0.594512	0.405488	0.594512	0.3572994
216	-56.44657	-119.56	63.11342	0.00153648	0.0117139	0.00454165	0.00433795	0.00103322	0.00535204	0.0128216	0.00079049	0.00204914	0.00533208	0.00285154	0.00624567	0.0173994	0.00273158	0.001222	0.00823499	0.0270925	0.00572878	0.00593885	0.00557595	0.000204635	0.00252691	0.00445444	0.00354521	0.0168932	0.00968215	0.014563	0.00296106	0.00236978	0.00608243	0.00868605	0.00558154	0.0201319	0.00319461	0.0283177	0.0073176	0.032783	0.00530971	0.00584625	0.00750567	0.00687021	0.0270146	0.0128432	0.00312936	0.00564825	0.00875866	0.0322168	0.59742	2.00645	0.8892527	1.110747	0.270723	0.528738	0.819702	1.21995	1.89129	3.69382	0.9448056	1.24908	0.744375	0.00368488	0.028093	0.0108921	0.0104036	0.00247793	0.0128356	0.0307496	0.00189581	0.00491438	0.0127877	0.00683875	0.0149788	0.0417285	0.00655106	0.00293069	0.0197497	0.064975	0.0137391	0.0142429	0.0133726	0.000490769	0.0060602	0.0106829	0.00850235	0.0405145	0.0232204	0.034926	0.00710141	0.00568336	0.0145873	0.0208315	0.013386	0.0482816	0.00766153	0.0679135	0.0175496	0.0786224	0.0127341	0.0140209	0.0180006	0.0164766	0.0647881	0.0308015	0.00750505	0.013546	0.0210056	0.0772645	0.843654	0.156346	0.8436539	0.4169678
252	-50.16154	-113.9172	63.7557	0.0470804	0.00379322	0.00165658	0.0166935	0.0220375	0.0130383	0.019893	0.00657358	0.0145349	0.0183656	0.00778478	0.00793819	0.000552612	0.00253233	0.00134463	0.013007	0.0155603	0.00119647	0.00264812	0.0108448	0.000225345	0.00912476	0.00386209	0.00370314	0.00977805	0.0118383	0.0110535	0.00555677	0.00235607	0.00707631	0.0149242	0.00125116	0.00960075	0.00510196	0.00844798	0.0152195	0.0278607	0.0101241	0.0101816	0.00935864	0.0112977	0.00408287	0.0176792	0.00152332	0.00193018	0.00101313	0.00752756	0.915959	1.2101	1.37743	0.6225702	0.675807	0.826046	0.942121	1.06143	1.21059	1.47971	0.2833333	0.4519796	1.89232	0.104909	0.00845238	0.00369134	0.037198	0.049106	0.0290532	0.0443273	0.0146478	0.032388	0.0409238	0.0173467	0.0176886	0.00123138	0.00564275	0.00299623	0.0289833	0.0346729	0.00266609	0.00590078	0.0241653	0.000502134	0.0203326	0.00860585	0.00825166	0.0217883	0.0263791	0.0246304	0.0123821	0.00525	0.0157681	0.0332554	0.00278796	0.0213933	0.0113686	0.0188245	0.0339135	0.0620817	0.0225594	0.0226875	0.0208538	0.0251746	0.00909781	0.0393944	0.00339439	0.00430099	0.00225754	0.0167736	0.554139	0.445861	0.5541392	0.4487747
288	-58.64859	-122.5789	63.93027	0.00221212	0.00380382	0.00205331	0.000173102	0.00375834	0.00321704	0.00547242	0.00498857	0.00815796	0.00749919	0.00207803	0.00811682	0.000389336	0.00128136	0.00100652	0.0120957	0.000120836	0.00258566	0.00946708	0.00206881	0.000737204	0.00207176	0.00848111	0.00188798	0.00419014	0.00443553	0.00753944	0.00480049	0.00640227	0.00194402	0.00325667	0.000401269	0.00911563	0.00255398	0.00738271	0.00254222	0.00206653	0.00530283	0.00837709	0.00256652	0.000415795	0.00676447	0.022353	0.000857145	0.00205831	0.00560511	0.00539911	0.438901	2.40275	1.339797	0.6602029	0.20312	0.459609	0.784642	1.27447	2.17576	4.92321	1.152543	0.4927634	0.4566662	0.0105312	0.0181087	0.00977512	0.000824081	0.0178922	0.0153153	0.0260524	0.0237489	0.0388374	0.0357012	0.00989283	0.0386415	0.0018535	0.00610015	0.00479169	0.0575835	0.00057526	0.0123095	0.0450697	0.00984894	0.00350959	0.00986297	0.0403758	0.00898804	0.0199479	0.0211161	0.0358928	0.0228536	0.0304791	0.00925484	0.0155039	0.00191031	0.0433965	0.0121587	0.0351467	0.0121027	0.00983809	0.0252451	0.0398806	0.0122184	0.00197947	0.0322035	0.106415	0.00408059	0.00979894	0.0266841	0.0257034	0.637743	0.362257	0.6377434	0.2100543
324	-53.65994	-118.1968	64.5369	0.00527293	0.00293441	0.00399798	0.00495953	0.00667256	0.00847576	0.00856578	0.000169047	0.00173203	0.00413642	0.00314353	0.00641277	0.00148183	0.00796073	0.00183938	0.00519634	0.0151545	6.44385e-05	0.00379789	0.00147753	0.0102856	0.00950598	0.0062664	0.00439885	0.0038842	0.0163658	0.00412538	0.00166941	0.00849666	0.0171525	0.00180722	0.00578969	0.00146149	0.00381993	0.00176814	0.00319247	0.0124498	0.00711958	0.0198457	0.0017055	0.00082671	0.00576438	0.018103	0.000603239	0.00414815	0.00358503	0.00220064	0.429586	2.42603	1.475477	0.524523	0.266188	0.524401	0.817598	1.22309	1.90694	3.75674	0.957019	0.3554939	0.4426837	0.0195448	0.0108768	0.014819	0.0183831	0.0247327	0.0314165	0.0317502	0.000626594	0.00642	0.0153322	0.0116519	0.0237698	0.00549258	0.0295075	0.00681789	0.0192609	0.056172	0.00023885	0.0140774	0.00547666	0.0381251	0.0352351	0.0232272	0.0163049	0.0143973	0.0606619	0.0152913	0.00618789	0.031494	0.0635779	0.0066987	0.0214602	0.00541721	0.0141591	0.00655384	0.0118333	0.0461468	0.0263896	0.0735608	0.00632164	0.00306431	0.0213664	0.0671012	0.00223598	0.0153757	0.0132884	0.00815697	0.634099	0.365901	0.6340988	0.2697869
